1 13 7
ZDG04 BHZ -0.059 0.93 -0.057 0.95
ZDG03 HHZ -0.060 0.42 -0.068 0.86
31 1176 12
ZDG14 HHZ 0.003 0.63 -0.791 0.31
ZDG13 HHZ 0.015 0.94 0.053 0.58
ZDG16 HHZ 0.043 0.78 0.294 0.62
ZDG12 HHZ 0.016 0.84 0.114 0.46
ZDG09 BHZ 0.064 0.89 0.061 0.70
ZDG08 BHZ 0.245 0.57 -0.090 0.78
ZDG07 BHZ 0.020 0.76 0.660 0.76
ZDG06 BHZ 0.041 0.61 0.038 0.94
ZDG05 BHZ 0.068 0.87 0.072 0.69
ZDG04 BHZ -0.209 0.31 -0.135 0.52
ZDG03 HHZ 0.257 0.55 -0.224 0.39
ZDG02 HHZ 0.089 0.45 0.511 0.60
31 921 8
ZDG14 HHZ 0.014 0.73 0.041 0.50
ZDG13 HHZ -0.024 0.95 -0.021 0.54
ZDG16 HHZ -0.109 0.92 -0.051 0.54
ZDG12 HHZ 0.007 0.89 0.018 0.28
ZDG09 BHZ 0.012 0.61 0.184 0.48
ZDG08 BHZ 0.759 0.38 -0.277 0.70
ZDG07 BHZ -0.221 0.40 -0.471 0.80
ZDG06 BHZ 0.198 0.28 0.019 0.90
31 1341 5
ZDG14 HHZ -0.072 0.91 -0.077 0.76
ZDG13 HHZ -0.087 0.96 -0.090 0.82
ZDG16 HHZ -0.104 0.96 0.004 0.51
ZDG12 HHZ -0.087 0.91 -0.097 0.42
ZDG08 BHZ -0.184 0.48 -0.090 0.87
37 1543 10
ZDG14 HHZ 0.022 0.89 0.030 0.95
ZDG16 HHZ 0.005 0.98 0.013 0.90
ZDG13 HHZ 0.010 0.98 0.010 0.98
ZDG12 HHZ 0.002 0.78 0.006 0.90
ZDG09 BHZ 0.067 0.93 0.027 0.42
ZDG07 BHZ 0.468 0.88 0.179 0.56
ZDG06 BHZ -0.745 0.36 -0.021 0.73
ZDG05 BHZ 0.769 0.49 -0.545 0.65
ZDG04 BHZ -0.667 0.73 0.701 0.40
ZDG02 HHZ 0.798 0.63 0.358 0.35
37 1663 9
ZDG14 HHZ 0.016 0.96 0.012 0.96
ZDG16 HHZ 0.011 0.99 0.002 0.89
ZDG13 HHZ -0.004 0.96 -0.006 0.96
ZDG12 HHZ -0.010 0.77 -0.019 0.88
ZDG09 BHZ 0.110 0.96 0.011 0.52
ZDG08 BHZ 0.099 0.38 -0.035 0.67
ZDG06 BHZ -0.803 0.66 -0.041 0.80
ZDG04 BHZ -0.238 0.81 0.650 0.42
ZDG02 HHZ 0.783 0.89 0.182 0.64
37 904 10
ZDG14 HHZ -0.001 0.89 0.263 0.31
ZDG16 HHZ -0.105 0.92 -0.790 0.54
ZDG13 HHZ -0.041 0.94 -0.020 0.74
ZDG12 HHZ -0.031 0.80 0.008 0.68
ZDG09 BHZ 0.709 0.62 -0.255 0.42
ZDG07 BHZ 0.310 0.85 -0.010 0.67
ZDG06 BHZ 0.446 0.85 0.094 0.67
ZDG05 BHZ -0.241 0.62 -0.432 0.60
